,inicio,varinicio,varfim,;,int,real,lit,leia,escreva,literal,num,rcb,opm,(,),entao,opr,fimse,id,se,fim,$,P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABEÇALHO,CORPO,EXP_R
0,S2,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,1,,,,,,,,,,,,,,
1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,A,,,,,,,,,,,,,,,
2,E2,S4,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,,3,,,,,,,,,,,,,
3,E3,E3,E3,E3,E3,E3,E3,S10,S11,E3,E3,E3,E3,E3,E3,E3,E3,E3,S12,S14,S9,E3,,,5,,,,6,,7,,,8,13,,
4,E4,E4,S16,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,S15,E4,E4,E4,,,,18,17,,,,,,,,,,
5,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,,,,,,,,,,,,
6,E6,E6,E6,E6,E6,E6,E6,S10,S11,E6,E6,E6,E6,E6,E6,E6,E6,E6,S12,S14,S9,E6,,,19,,,,6,,7,,,8,13,,
7,E7,E7,E7,E7,E7,E7,E7,S10,S11,E7,E7,E7,E7,E7,E7,E7,E7,E7,S12,S14,S9,E7,,,57,,,,6,,7,,,8,13,,
8,E8,E8,E8,E8,E8,E8,E8,S10,S11,E8,E8,E8,E8,E8,E8,E8,E8,E8,S12,S14,S9,E8,,,20,,,,6,,7,,,8,13,,
9,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,,,,,,,,,,,,,,,
10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S21,E10,E10,E10,,,,,,,,,,,,,,,
11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S24,S25,E11,E11,E11,E11,E11,E11,E11,S26,E11,E11,E11,,,,,,,,22,,,,,,,
12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,S27,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,,,,,,,,,,,,,,,
13,E13,E13,E13,E13,E13,E13,E13,S10,S11,E13,E13,E13,E13,E13,E13,E13,E13,S36,S12,S14,E13,E13,,,,,,,38,,39,,,40,13,37,
14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,S44,E14,E14,E14,E14,E14,E14,E14,E14,,,,,,,,,,,,,,,
15,E15,E15,E15,E15,S53,S54,S55,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,,,,,,51,,,,,,,,,
16,E16,E16,E16,S29,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,,,,,,,,,,,,,,,
17,E17,E17,S16,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,E17,S15,E17,E17,E17,,,,28,17,,,,,,,,,,
18,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,,,,,,,,,,
19,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,,,,,,,,,,,,,,,
